2001	Information 	Unknown 	2022-01-03 08:24:58 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:24:58 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:24:58 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:25:03 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:25:04 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:25:04 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:27:13 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:27:13 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:27:13 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:27:34 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:27:34 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:27:34 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:27:37 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:27:37 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:27:37 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:28:32 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:28:32 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:28:32 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:29:06 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:29:06 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:29:06 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:33:38 	Connection established successfully with database 
2003	Information 	Unknown 	2022-01-03 08:33:38 	The 'SELECT * FROM categories' query executed successfully 
2002	Information 	Unknown 	2022-01-03 08:33:38 	Connection closed successfully with database 
2001	Information 	Unknown 	2022-01-03 08:33:45 	Connection established successfully with database 
